ENTREZID	SYMBOL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newPadj
72082	Cyp2c55	27805.2964471764	-8.91077770380097	0.170298189837702	-52.3245591294491	0	0	0
15203	Heph	3603.92311658315	-8.60337043078613	0.245530456696829	-35.0399316912819	5.55051694155178e-269	3.90756392685245e-265	9.87992015596216e-265
12557	Cdh17	18827.2832983246	-8.08959256927833	0.239508092231167	-33.7758632450317	4.46108416057044e-250	2.09373549936106e-246	7.94028369739933e-246
17063	Muc13	26781.6688090037	-8.40409891251439	0.259509918267272	-32.3844998627718	4.53685117472235e-230	1.59697161350227e-226	8.07468772077083e-226
192113	Atp12a	12292.0129836319	-10.3840431878878	0.345764617439497	-30.0321162552291	3.73848573636231e-198	1.05275758335963e-194	6.65338306500401e-194
17940	Naip1	4159.48980187969	-8.74351611685875	0.333315418655051	-26.2319581618498	1.14833921824309e-151	2.69476936547712e-148	2.0435844727854e-147
17922	Myo7b	4316.22899359659	-7.43582160909024	0.285365500592423	-26.0571848862366	1.11536805416598e-149	2.24348317180813e-146	1.98479745238835e-145
244650	Phlpp2	1066.25129068429	-4.59923635780795	0.179011475209296	-25.6924107933898	1.42099320595019e-145	2.50094804247233e-142	2.52851531066777e-141
13487	Slc26a3	5877.05252235001	-9.36472311202846	0.366696591533016	-25.5380696964708	7.45036038075309e-144	1.16556749067782e-140	1.3256426225474e-139
72040	Cdhr5	5470.07799282109	-8.13990070135644	0.326875397026699	-24.9021516314719	7.05141347781942e-137	9.92839017676975e-134	1.25458748597363e-132
12346	Car1	41190.9270001947	-8.97659630632738	0.364785153884527	-24.6078992270857	1.03973066142046e-133	1.33085524661819e-130	1.84978481973315e-129
14422	B4galnt2	4809.67637340442	-7.40701518266034	0.304975930706175	-24.2872123236391	2.67591498652347e-130	3.13974025085421e-127	4.76045276102526e-126
239853	Adgrg7	5028.21229349938	-7.87188802045119	0.32723139810909	-24.0560290544825	7.21907862934525e-128	7.81881746932163e-125	1.28420189737423e-123
212943	Tent5a	2510.53947013963	-5.73920134699384	0.241935533069943	-23.7220274102302	2.13676862449125e-124	2.14897873091691e-121	3.80088402924503e-120
70266	Kyat1	934.905883954362	-5.91550262895309	0.252078514826975	-23.4669052735948	8.88504544110151e-122	8.34009598738062e-119	1.58038303260873e-117
224796	Clic5	4263.68116897674	-4.40689392193943	0.189137128120053	-23.2999938496591	4.43388610661741e-120	3.90181977382332e-117	7.88610982922972e-116
26941	Slc9a3r1	7451.28835414074	-3.46440100098394	0.14882986718527	-23.2775925054835	7.47777340798605e-120	6.19335585790844e-117	1.32992200061032e-115
72112	Ppp1r14d	1416.39321047543	-6.59255976746862	0.284785894608497	-23.1491794090842	1.48168385842493e-118	1.15900604036794e-115	2.63502657382289e-114
15408	Hoxb13	2104.57152187078	-8.85136172130614	0.388263385732265	-22.7973124599747	4.8754335552504e-115	3.61295286620661e-112	8.66998349130179e-111
546644	Ly6g	1743.27487522405	-9.03478962798259	0.409416627003003	-22.0674712068211	6.49224418270689e-108	4.57053990462565e-105	1.15445086056894e-103
66261	Tm4sf20	2123.39896790798	-8.94013229844181	0.405384382949799	-22.0534699274513	8.84732513469066e-108	5.93192085221165e-105	1.57314288219935e-103
433023	Gm5485	1794.70182190262	-8.33403885442207	0.394306861159253	-21.1359214747625	3.71858944866182e-99	2.37989724714357e-96	6.61165203972072e-95
22337	Vdr	3571.28934983144	-8.56813957525947	0.415367825450268	-20.6278364627097	1.54405317489576e-94	9.45229074023146e-92	2.74517213964718e-90
212070	Clrn3	1166.7353215774	-6.1609988084577	0.301995756108722	-20.4009449928815	1.64015252970707e-92	9.6222281742815e-90	2.91586316731324e-88
72088	Ush1c	1323.53868427759	-8.11229555475302	0.39901072149251	-20.3310214933793	6.83643949372959e-92	3.85028272286851e-89	1.21531384880031e-87
12351	Car4	3784.62381159581	-10.4041829519684	0.51276536282936	-20.2903388297519	1.56512853849169e-91	8.41533153654531e-89	2.78217249002283e-87
