,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
mmu04110,mmu04110,Cell cycle - Mus musculus (house mouse),57/1023,155/9167,3.15785606928539e-17,1.01367179824061e-14,9.14116230582614e-15,71988/17219/105837/12428/245000/12443/22137/17217/12235/76464/17215/12567/100710/320209/268697/22589/17220/12442/59008/12544/52206/17218/18817/22059/67052/27214/15182/23834/21808/20877/13555/56452/107995/12532/77011/12236/72415/12649/105988/66440/50883/18393/12531/12545/12534/27401/17120/268930/56150/17216/12580/67849/67177/17869/67141/69716/68999,57
mmu03030,mmu03030,DNA replication - Mus musculus (house mouse),24/1023,35/9167,1.34837695436133e-15,2.16414501174993e-13,1.95159822341771e-13,17219/18973/17217/17215/18968/17220/19076/17218/19718/19075/106344/68209/16881/18971/72151/18972/18974/327762/381760/17216/18969/14156/19819/19891,24
mmu03010,mmu03010,Ribosome - Mus musculus (house mouse),54/1023,176/9167,1.24838584970639e-12,1.33577285918584e-10,1.20458283743599e-10,19896/26451/20042/67115/20085/75617/66475/94062/20103/20084/100503670/269261/27367/78294/19981/57808/27050/20088/267019/19951/16898/20115/67671/67248/67945/270106/19934/20091/66483/76846/20055/65019/19921/19988/67281/118451/27370/319195/114641/20054/20104/64657/66481/68193/54217/68052/19982/54127/268449/19942/56284/19943/19933/20090,54
mmu05322,mmu05322,Systemic lupus erythematosus - Mus musculus (house mouse),46/1023,149/9167,4.71798036941296e-11,3.7861792464539e-09,3.41432789891727e-09,319154/319176/319148/319150/319189/319153/319167/319160/319149/15270/97114/20641/319151/319187/665433/319169/260423/319172/319185/319178/319173/319186/67332/360198/319152/97908/319181/319166/15267/319183/319184/97122/319179/320332/319182/319159/20822/326620/319157/319170/319188/326619/319180/14999/665596/319190,46
mmu05171,mmu05171,Coronavirus disease - COVID-19 - Mus musculus (house mouse),61/1023,248/9167,1.20535785901206e-09,7.73839745485741e-08,6.97838760480665e-08,19896/26451/20042/67115/20085/75617/18752/66475/20103/20084/15976/234779/100503670/269261/27367/78294/19981/57808/27050/20088/267019/19951/16898/20115/67671/142980/67248/67945/270106/19934/20091/66483/76846/20055/16195/65019/19921/19988/67281/27370/319195/114641/20054/20104/16194/66481/18186/68193/54217/68052/17858/19982/54127/268449/19942/19943/16391/17857/214763/19933/20090,61
mmu03440,mmu03440,Homologous recombination - Mus musculus (house mouse),19/1023,41/9167,1.51140224396731e-08,8.0860020052251e-07,7.29185293142123e-07,12190/12144/12021/21976/235559/18971/210766/18972/19361/381760/57434/12189/114714/19366/71711/19891/623474/19363/268465,19
mmu04613,mmu04613,Neutrophil extracellular trap formation - Mus musculus (house mouse),51/1023,208/9167,3.15863104596234e-08,1.40380245634733e-06,1.2659310558961e-06,11739/319154/319176/319148/319150/319189/319153/319167/319160/319149/15270/97114/319151/319187/665433/319169/15182/18752/260423/232232/319172/319185/319178/56233/234779/319173/319186/360198/319152/97908/319181/319166/15267/319183/319184/97122/319179/320332/13057/319182/18602/319159/326620/319157/319170/319188/15185/326619/319180/665596/319190,51
mmu03460,mmu03460,Fanconi anemia pathway - Mus musculus (house mouse),21/1023,51/9167,3.49857309993103e-08,1.40380245634733e-06,1.2659310558961e-06,245000/12190/12144/208836/71718/21976/211651/26447/17350/67196/19361/18861/12189/237211/114714/71711/14087/19891/104806/67030/268465,21
mmu05034,mmu05034,Alcoholism - Mus musculus (house mouse),50/1023,205/9167,5.17548055868665e-08,1.8459213992649e-06,1.66462824986997e-06,319154/319176/319148/319150/319189/319153/319167/319160/319149/15270/97114/231991/319151/319187/665433/319169/15182/260423/232232/319172/319185/319178/55984/56233/319173/319186/360198/319152/97908/319181/319166/15267/319183/319184/97122/319179/320332/319182/63959/319159/326620/319157/14700/319170/319188/15185/326619/319180/665596/319190,50
mmu03430,mmu03430,Mismatch repair - Mus musculus (house mouse),13/1023,22/9167,7.3284525593092e-08,2.35243327153825e-06,2.1213941619053e-06,217716/19718/17685/106344/16881/18971/72151/18972/17350/18861/26909/381760/19891,13
mmu00240,mmu00240,Pyrimidine metabolism - Mus musculus (house mouse),21/1023,56/9167,2.37762813888874e-07,6.93835120530258e-06,6.25691615497036e-06,51797/18605/20135/22171/21915/215446/21877/20133/80914/18103/22247/110074/69692/56749/68106/18102/76952/320685/54369/56520/69719,21
mmu03040,mmu03040,Spliceosome - Mus musculus (house mouse),39/1023,158/9167,1.10625414627666e-06,2.95922984129006e-05,2.66859552829896e-05,20383/53817/225027/67996/101943/69878/15382/225160/66094/20382/20624/15511/68981/20641/28035/20826/28000/20643/20637/67332/233908/68816/76936/21681/193740/107686/73666/68092/50783/15512/68988/27756/66373/76938/66125/110809/66642/108121/68011,39
mmu03410,mmu03410,Base excision repair - Mus musculus (house mouse),17/1023,47/9167,5.94963861769832e-06,0.000146910307406243,0.000132481831568181,18973/11545/234258/19718/106344/11792/16881/71726/18971/72151/18972/18974/104884/56626/22256/14156/18207,17
mmu03013,mmu03013,Nucleocytoplasmic transport - Mus musculus (house mouse),30/1023,117/9167,8.4251372636354e-06,0.000193176361544783,0.000174203965977424,57258/226432/53817/234865/70572/110750/225160/19384/76582/13680/70699/170762/445007/54563/72787/71805/21681/73666/69912/68092/56488/269113/66011/18949/56698/75751/103468/77595/223921/69736,30
mmu01232,mmu01232,Nucleotide metabolism - Mus musculus (house mouse),24/1023,84/9167,9.32190892638147e-06,0.000199488851024563,0.000179896488052976,51797/18605/20135/229363/22171/21915/215446/21877/20133/80914/18103/110074/69692/23917/68106/11565/18102/210808/11564/23918/76952/320685/54369/56520,24
mmu03008,mmu03008,Ribosome biogenesis in eukaryotes - Mus musculus (house mouse),30/1023,121/9167,1.72212948423924e-05,0.000345502227775497,0.000311569479056441,73674/225348/67134/245474/19384/52530/67459/68272/21453/110816/217995/72554/20826/224092/67973/21771/72515/30877/66161/55989/213773/56488/105372/227522/434234/27993/102614/68147/14113/54364,30
