,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
mmu05146,mmu05146,Amoebiasis - Mus musculus (house mouse),15/406,107/9167,6.86492804661855e-05,0.00891433070716479,0.00792525845231578,16779/12830/16774/16776/20723/11847/330122/21808/16777/74769/14268/226421/20708/18752/18477,15
mmu00980,mmu00980,Metabolism of xenobiotics by cytochrome P450 - Mus musculus (house mouse),12/406,73/9167,7.65182490956299e-05,0.00891433070716479,0.00792525845231578,13078/14873/11670/56615/74134/211666/13107/13849/14859/11529/68214/12408,12
mmu04510,mmu04510,Focal adhesion - Mus musculus (house mouse),22/406,203/9167,9.03479463563999e-05,0.00891433070716479,0.00792525845231578,21825/20750/16779/17295/12830/22325/16774/54635/16420/11797/12390/16776/16410/14254/16777/74769/14268/18591/57257/14257/18752/18481,22
mmu04512,mmu04512,ECM-receptor interaction - Mus musculus (house mouse),13/406,88/9167,0.000120977284000188,0.00895231901601388,0.0079590318421176,21825/20750/16779/12830/16774/16420/16776/114249/16410/16777/12505/14268/242022,13
mmu05222,mmu05222,Small cell lung cancer - Mus musculus (house mouse),13/406,93/9167,0.000213951991027189,0.0121045169538729,0.0107614837783365,16779/12830/16774/11797/16776/12048/16410/23882/16777/74769/14268/218772/22033,13
mmu04151,mmu04151,PI3K-Akt signaling pathway - Mus musculus (house mouse),31/406,359/9167,0.000271119470781401,0.0121045169538729,0.0107614837783365,21825/20750/17311/14062/16190/16779/17295/12830/16774/13874/54635/16420/16776/12978/12048/67168/16410/16453/18414/14254/16777/74769/14268/18591/74747/72930/18212/14257/231991/17763/16194,31
mmu05205,mmu05205,Proteoglycans in cancer - Mus musculus (house mouse),21/406,205/9167,0.000286255468503751,0.0121045169538729,0.0107614837783365,21825/17295/22325/22422/12390/14366/16410/21808/234779/12323/74769/12505/14268/57257/22409/17698/14365/18752/57265/18792/14102,21
mmu04966,mmu04966,Collecting duct acid secretion - Mus musculus (house mouse),6/406,27/9167,0.0009738444780051,0.0356568974308328,0.0317006556106266,20499/11944/11966/27060/140494/110935,6
mmu04360,mmu04360,Axon guidance - Mus musculus (house mouse),18/406,181/9167,0.00108416242188343,0.0356568974308328,0.0317006556106266,13800/17295/20350/234779/18186/12323/20346/16885/18019/259302/74769/235611/20349/20353/14365/13837/57764/18481,18
mmu05231,mmu05231,Choline metabolism in cancer - Mus musculus (house mouse),12/406,98/9167,0.00124617878146743,0.0368868919314359,0.0327941784596692,30805/54635/236899/20520/68682/74769/18591/20517/18752/232889/56517/12660,12
mmu05225,mmu05225,Hepatocellular carcinoma - Mus musculus (house mouse),17/406,174/9167,0.001792697640059,0.0482398637688605,0.0428875033506939,14873/17295/22422/56615/12048/14366/21808/234779/23882/211666/74769/14859/22409/68214/14365/18752/57265,17
mmu04130,mmu04130,SNARE interactions in vesicular transport - Mus musculus (house mouse),6/406,33/9167,0.00291096179193517,0.0718037242010675,0.063836881402087,53620/22320/12068/22317/74732/67023,6
mmu05204,mmu05204,Chemical carcinogenesis - DNA adducts - Mus musculus (house mouse),10/406,84/9167,0.00382852404097833,0.0827118694909965,0.0735347346114834,13078/14873/56615/13113/20887/211666/13849/14859/68214/12408,10
mmu00982,mmu00982,Drug metabolism - cytochrome P450 - Mus musculus (house mouse),9/406,71/9167,0.00391204788133092,0.0827118694909965,0.0735347346114834,14873/11761/11670/56615/211666/14859/11529/68214/55990,9
