,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
mmu04390,mmu04390,Hippo signaling pathway - Mus musculus (house mouse),8/74,157/9167,3.58055314974181e-05,0.00705368970499137,0.00636961560322491,16842/12162/93897/57265/93960/18787/21812/14365,8
mmu05217,mmu05217,Basal cell carcinoma - Mus musculus (house mouse),5/74,63/9167,0.000145983121155684,0.0128964303961174,0.0116457212767504,16842/93897/57265/14365/23882,5
mmu05226,mmu05226,Gastric cancer - Mus musculus (house mouse),7/74,150/9167,0.000196392341057625,0.0128964303961174,0.0116457212767504,16842/93897/57265/21812/218772/14365/23882,7
mmu00830,mmu00830,Retinol metabolism - Mus musculus (house mouse),5/74,97/9167,0.00108227454802833,0.0533020214903954,0.0481327364781022,72303/232174/107605/103142/79235,5
mmu04310,mmu04310,Wnt signaling pathway - Mus musculus (house mouse),6/74,171/9167,0.00250657964077931,0.0897737071250229,0.0810673604281532,16842/17393/93897/57265/93960/14365,6
mmu05225,mmu05225,Hepatocellular carcinoma - Mus musculus (house mouse),6/74,174/9167,0.00273422458248801,0.0897737071250229,0.0810673604281532,16842/93897/57265/21812/14365/23882,6
mmu00620,mmu00620,Pyruvate metabolism - Mus musculus (house mouse),3/74,44/9167,0.00527527748160662,0.134779046709888,0.121708035767946,72535/17436/100705,3
mmu05210,mmu05210,Colorectal cancer - Mus musculus (house mouse),4/74,88/9167,0.00547326078009696,0.134779046709888,0.121708035767946,13874/16842/21812/23882,4
mmu05224,mmu05224,Breast cancer - Mus musculus (house mouse),5/74,147/9167,0.00657165756643548,0.143846282287532,0.129895921488608,16842/93897/57265/14365/23882,5
mmu04350,mmu04350,TGF-beta signaling pathway - Mus musculus (house mouse),4/74,99/9167,0.00826856695727874,0.153326642129676,0.13845686625656,12162/17130/21825/21812,4
mmu04916,mmu04916,Melanogenesis - Mus musculus (house mouse),4/74,100/9167,0.00856138610876365,0.153326642129676,0.13845686625656,16842/93897/57265/14365,4
