ENTREZID	SYMBOL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newPadj
72082	Cyp2c55	27805.2964471764	-8.1618516916812	0.170302037826677	-47.9257429672558	0	0	0
12557	Cdh17	18827.2832983246	-7.45990126172518	0.239507187536289	-31.1468784651604	5.59051948553289e-213	3.84124593850965e-209	9.95112468424854e-209
15203	Heph	3603.92311658315	-7.09729799427142	0.245753847836354	-28.8797024207632	2.14757711825669e-183	9.8373349196945e-180	3.82247251278509e-179
17063	Muc13	26781.6688090037	-7.06222921318704	0.259534834815313	-27.2111033503945	4.79961122619362e-163	1.64890643675882e-159	8.54234806037941e-159
14422	B4galnt2	4809.67637340442	-8.1738295176772	0.304709579360725	-26.8249837593742	1.65211767986685e-158	4.54068023134606e-155	2.94027383485904e-154
71597	Isx	2113.42077855778	-8.54459188727995	0.324289880560022	-26.3486232519008	5.32228627523645e-153	1.21898096657165e-149	9.47154065541078e-149
17922	Myo7b	4316.22899359659	-6.92331006801656	0.285350534689475	-24.262474487916	4.88326524893441e-130	9.58654729297951e-127	8.68977051047877e-126
12346	Car1	41190.9270001947	-8.81442029818901	0.364781298251412	-24.1635751077183	5.37604459563743e-129	9.2347006041562e-126	9.56613375347725e-125
239853	Adgrg7	5028.21229349938	-7.63616131831571	0.327173456558044	-23.3397947335039	1.74966353697841e-120	2.67154181390636e-117	3.11317633134568e-116
17940	Naip1	4159.48980187969	-7.50207270904647	0.33339679683491	-22.501933972573	3.97353544328124e-112	5.46043240615709e-109	7.06971426068599e-108
72040	Cdhr5	5470.07799282109	-7.11941889814137	0.326914375511182	-21.7776256764758	3.78169656871519e-105	4.72437038611674e-102	6.7280163654012e-101
12759	Clu	5676.28126674625	8.74454961666658	0.411769953699319	21.2364927020683	4.39505724881901e-100	5.03307305943924e-97	7.81880684564902e-96
264895	Acsf2	2059.25365142873	-3.68081124712668	0.173717051542158	-21.1885431766807	1.21808034343602e-99	1.28760462149983e-96	2.16684312293833e-95
17161	Maoa	11342.7810686753	-7.60234083922021	0.37634540448296	-20.200434889499	9.70389464800572e-91	9.52506573234961e-88	1.72612877998726e-86
546644	Ly6g	1743.27487522405	-8.1832485495128	0.409491117591045	-19.9839464104942	7.59740734367547e-89	6.96023811445255e-86	1.35135084421956e-84
72303	Cyp2c65	1641.07142967692	-9.52387041086703	0.481038039415291	-19.7985806329234	3.06200182222092e-87	2.62987681505999e-84	5.44607644100213e-83
72112	Ppp1r14d	1416.39321047543	-5.62302065192992	0.285015896181418	-19.7287966294721	1.22040916833271e-86	9.86521340660475e-84	2.17049770587972e-82
72088	Ush1c	1323.53868427759	-7.70549592695623	0.398934943819591	-19.315169168136	4.00417642386471e-83	3.05696624537494e-80	7.12102735220101e-79
