ENTREZID	SYMBOL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newPadj
72082	Cyp2c55	27805.2964471764	-4.1804770247765	0.165052562078043	-25.3281559046615	1.5643909129364e-141	2.1497859925572e-137	2.78477226411808e-137
15203	Heph	3603.92311658315	-5.35346078560261	0.214895730849264	-24.9118992008163	5.52926572295822e-137	3.7991584782446e-133	9.84209298686564e-133
71597	Isx	2113.42077855778	-7.2863416427966	0.303072288105433	-24.0415964400606	1.0220675244548e-127	4.68175064035262e-124	1.8191779867771e-123
12557	Cdh17	18827.2832983246	-5.44165589411655	0.234591662249901	-23.1962885719262	4.96339867186059e-119	1.70517561371771e-115	8.83385695617748e-115
14422	B4galnt2	4809.67637340442	-6.40218921782014	0.287161882341394	-22.294704177377	4.15910827476054e-110	1.14308931823519e-106	7.40196499659133e-106
72535	Aldh1b1	1128.45391478841	-7.54036373632778	0.345254290648699	-21.8400290468807	9.66937836052201e-106	2.21460995717156e-102	1.7207625730385e-101
17063	Muc13	26781.6688090037	-5.56632642480525	0.256499916863147	-21.7010847133144	2.00379911367586e-104	3.93374391716195e-101	3.56576052278619e-100
60363	Cldn15	1350.51955147687	-7.78996082251486	0.376637023609141	-20.6829396320819	4.93406533319531e-95	8.47549072609624e-92	8.77967585388773e-91
17922	Myo7b	4316.22899359659	-5.34048032738834	0.268832059959032	-19.865488990421	8.09598530337876e-88	1.23616700043368e-84	1.44051866503018e-83
12590	Cdx1	1047.99420237711	-6.52561953486174	0.338575747073537	-19.2737359106954	8.92544312071573e-83	1.22653439364876e-79	1.58801484003774e-78
58998	Nectin3	1020.842670766	-5.24462003995934	0.276376503895088	-18.9763600235358	2.67498627983245e-80	3.34178740522341e-77	4.75906809044991e-76
56375	B4galt4	882.751545179448	-6.02529927318811	0.32894730551693	-18.3169132932083	6.06570523965558e-75	6.94624345027892e-72	1.07908896213473e-70
56047	Msln	2835.90611380316	4.60558578031611	0.253408436922838	18.1745558129088	8.20906151649923e-74	8.67760948921019e-71	1.46030995317005e-69
239853	Adgrg7	5028.21229349938	-5.6539281305788	0.316798215527168	-17.8470958908982	3.04462675471619e-71	2.98851863309356e-68	5.41578207128915e-67
12182	Bst1	1027.61814193421	8.92752265412671	0.506819422337587	17.6147997899342	1.896589890085e-69	1.73752921796987e-66	3.37346443749419e-65
12759	Clu	5676.28126674625	7.30952910638617	0.42238550284711	17.3053503425566	4.28665696989196e-67	3.68170250501595e-64	7.62424808664983e-63
72088	Ush1c	1323.53868427759	-6.55121028430433	0.382158373829367	-17.1426579474337	7.13148634982463e-66	5.76475796584059e-63	1.26833484731631e-61
433023	Gm5485	1794.70182190262	-6.01794079156507	0.353642427648091	-17.0170214914188	6.14163745673123e-65	4.68879899613337e-62	1.09222880530508e-60
264895	Acsf2	2059.25365142873	-2.89400722494891	0.171457568173629	-16.8788537932502	6.43827439311051e-64	4.65656666895393e-61	1.14491833532684e-59
216892	Spns2	431.348256643618	4.73650043428475	0.285564316532662	16.5864576211608	8.73211142425953e-62	5.99983375960872e-59	1.55274405346183e-57
19249	Ptpn13	654.902353015402	7.19438122657213	0.437380860239159	16.4487792690294	8.55756658226264e-61	5.59990857016444e-58	1.52162091399212e-56
13078	Cyp1b1	1327.68031116292	7.3624602648619	0.451400092162691	16.3102763882653	8.34144596256923e-60	5.21037047352847e-57	1.48310909214481e-55
64381	Ms4a8a	2057.93577351276	-5.18040649593489	0.320236621518668	-16.1768084842005	7.35072269043864e-59	4.39189700921773e-56	1.30688498713309e-54
381217	Fam189a2	1054.41321821737	-7.20082107802004	0.449647279940636	-16.0143770445375	1.0141735668036e-57	5.80698881458959e-55	1.80299776706343e-53
546644	Ly6g	1743.27487522405	-5.8021896010697	0.37615716577433	-15.4249078018379	1.11314011377798e-53	6.11870857741479e-51	1.97882918026311e-49
117606	Boc	256.177567679034	-6.39937070320891	0.420562816746925	-15.2162065888477	2.76081949551151e-52	1.45919928874305e-49	4.90763273522126e-48
229927	Clca3b	2013.33002381064	-7.30667909885435	0.480956346689273	-15.1919797901636	3.9966399738572e-52	2.03414172299058e-49	7.10402755353116e-48
17863	Myb	1160.24360775162	-5.24778530323995	0.348225257739613	-15.0700880726004	2.54773193103674e-51	1.25039043558239e-48	4.5283387342247e-47
20324	Cavin2	383.715757760051	6.53144270674306	0.436051519894157	14.9786032355269	1.01324147937588e-50	4.80136703778736e-48	1.80083408129475e-46
14917	Gucy2c	1706.00909982772	-6.3051526246311	0.424162816340575	-14.8649348357035	5.56690312162334e-50	2.55001275657826e-47	9.89350022774899e-46
72112	Ppp1r14d	1416.39321047543	-3.95074464690391	0.266871254891132	-14.8039347606605	1.38158441050473e-49	6.12442999005033e-47	2.45521365590796e-45
319622	Itpripl2	996.560170241299	4.48643829922223	0.305049010556796	14.7072704515031	5.78960057129474e-49	2.48627159533539e-46	1.02881202151908e-44
68891	Cd177	881.418840864404	-6.07646951773855	0.416986477304146	-14.5723419066811	4.21200382845696e-48	1.7539805033532e-45	7.48430960278518e-44
22351	Vill	816.420291566474	5.25433790367047	0.36683871587752	14.3232916163211	1.56530118982537e-46	6.32657910311183e-44	2.78122715408171e-42
70355	Gprc5c	173.400542589237	7.6334721730654	0.53333868079451	14.3126168191924	1.825142318264e-46	7.16603021073826e-44	3.24273035685965e-42
17161	Maoa	11342.7810686753	-5.25526546766156	0.371637279366069	-14.1408458177982	2.12712277261244e-45	8.11970031701115e-43	3.77904631782326e-41
17940	Naip1	4159.48980187969	-4.6463441216819	0.332150164090521	-13.9886853116702	1.82759145562403e-44	6.78777345491497e-42	3.24671622091608e-40
66214	Rgcc	359.144765642431	-5.8956719451639	0.421867556980288	-13.9751726522061	2.20977078867301e-44	7.99122899419592e-42	3.92543682899873e-40
