ENTREZID	SYMBOL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newPadj
15203	Heph	3603.92311658315	-5.80985674806163	0.214592560211786	-27.0738964217947	1.99879643358202e-161	2.74674605902841e-157	3.55805753141935e-157
72082	Cyp2c55	27805.2964471764	-4.31854644269525	0.165013938389143	-26.1707979632065	5.71517954542701e-151	3.9268998656629e-147	1.01730195908601e-146
17063	Muc13	26781.6688090037	-6.55408959638562	0.256435184459744	-25.5584646474849	4.42119881105891e-144	2.02520380205238e-140	7.86929176380375e-140
12557	Cdh17	18827.2832983246	-5.35795478115159	0.234609166541667	-22.8377895890952	1.93257416450609e-115	6.63935854216067e-112	3.43959549798794e-111
56375	B4galt4	882.751545179448	-6.79070404170238	0.328229003808174	-20.6889213412446	4.35854465768663e-95	1.19790241371859e-91	7.7569019272849e-91
14422	B4galnt2	4809.67637340442	-5.92113093996563	0.287357125213696	-20.6054780634457	2.45087666689786e-94	5.61332452608507e-91	4.36158011641144e-90
12590	Cdx1	1047.99420237711	-6.66420530500469	0.338519448186524	-19.6863292218671	2.82429624639567e-86	5.54449700256704e-83	5.0258351704611e-82
17922	Myo7b	4316.22899359659	-5.26867981905426	0.268868735956894	-19.595732468869	1.68148405539264e-85	2.8883692361507e-82	2.99203272816566e-81
12182	Bst1	1027.61814193421	8.51187034730821	0.452353035620798	18.8168746024369	5.49307081438204e-79	8.38730879235978e-76	9.77382090002997e-75
15408	Hoxb13	2104.57152187078	-7.12966056785332	0.381702239113269	-18.6785924662538	7.39433066125026e-78	1.01612891946901e-74	1.31559931124965e-73
433023	Gm5485	1794.70182190262	-6.24935525479821	0.353548694612053	-17.6760806928041	6.41002463321377e-70	8.00786895542033e-67	1.14040748249506e-65
239853	Adgrg7	5028.21229349938	-5.59736308973509	0.316841706643986	-17.6661183561433	7.64818807317886e-70	8.75845004180199e-67	1.36061265821852e-65
15417	Hoxb9	1187.32734675566	3.82513732931802	0.219040466930559	17.4631536488217	2.73404306738235e-68	2.89009383322832e-65	4.86358921256645e-64
17161	Maoa	11342.7810686753	-6.40955899473249	0.371495173322234	-17.253411228503	1.05483446006962e-66	1.03539536787691e-63	1.87633953757184e-62
17940	Naip1	4159.48980187969	-5.56299690938569	0.331195098552923	-16.7967368288114	2.57844689307653e-63	2.36220114697718e-60	4.58628348871522e-59
13078	Cyp1b1	1327.68031116292	7.43990231839341	0.450866122077491	16.5013558439742	3.58746224497047e-61	3.08118163564901e-58	6.38066034890447e-57
68891	Cd177	881.418840864404	-6.84327801743911	0.416383049540968	-16.4350542727023	1.07328572927056e-60	8.67593675978593e-58	1.9088386695077e-56
192113	Atp12a	12292.0129836319	-5.47543062248245	0.335037534056079	-16.3427379499694	4.90021474714533e-60	3.74104172529284e-57	8.71454190632325e-56
60363	Cldn15	1350.51955147687	-6.144133587345	0.37743343828577	-16.2787208659902	1.39759814855994e-59	1.0108312503953e-56	2.48534878758415e-55
407795	Smim31	755.06080679261	-5.9320655698439	0.366655237600065	-16.1788649431878	7.10929735062893e-59	4.88479820961713e-56	1.26417525488884e-54
54525	Syt7	1894.12331104661	-5.75356300861462	0.357960713021927	-16.0731689241612	3.93448126685192e-58	2.57464959852758e-55	6.9959011405894e-54
72088	Ush1c	1323.53868427759	-6.01747407196792	0.382731019507491	-15.7224624220722	1.06117924082546e-55	6.62851142155615e-53	1.88677669018768e-51
