,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
Mast Cells,Mast Cells,Mast Cells,221,0.390159257814549,1.41295123008953,0.00611052629576179,0.0122210525915236,0.00643213294290714,1788,tags=17%, list=13%, signal=15%,19224/12759/17698/11690/193740/13732/16832/67865/66355/18826/16911/18301/17001/12508/16431/54354/16852/20539/20482/74732/11622/18227/80876/17873/12822/14201/106869/12505/20198/57816/56743/80859/13244/15251/14605/12696/53605/212980
T-Cells,T-Cells,T-Cells,151,0.293330120073028,1.01143411604434,0.429032258064516,0.596119929453263,0.313747331291191,830,tags=9%, list=6%, signal=8%,320982/11690/19264/667803/73690/18826/100043314/52662/15902/18301/216859/12508/16852
ILCs,ILCs,ILCs,168,0.288757185946945,1.01110800383827,0.437086092715232,0.596119929453263,0.313747331291191,1797,tags=14%, list=13%, signal=12%,17698/19264/667803/18826/18301/67803/20723/216859/12508/54354/20482/18227/71982/13036/106869/12505/20393/56743/320292/14605/12696/53605/26377
Undifferentiated #1,Undifferentiated #1,Undifferentiated #1,80,0.281993949778372,0.890742996839323,0.707182320441989,0.707182320441989,0.372201221285257,179,tags=2%, list=1%, signal=2%,20310/13057
Undifferentiated #2,Undifferentiated #2,Undifferentiated #2,70,-0.335877689786206,-0.961894200579237,0.536507936507936,0.596119929453263,0.313747331291191,3046,tags=29%, list=22%, signal=22%,13629/70316/12034/100434/56451/11465/56428/233870/66694/67273/67003/18703/244853/20917/19049/22166/11522/237038/12638/15360
BEST4/OTOP2 Cells,BEST4/OTOP2 Cells,BEST4/OTOP2 Cells,20,-0.417286340494495,-0.950130178361071,0.527927927927928,0.596119929453263,0.313747331291191,2203,tags=40%, list=16%, signal=34%,109552/20194/12351/228765/70163/14916/12709/14915
Enteroendocrines,Enteroendocrines,Enteroendocrines,186,-0.464268502300574,-1.5125581766716,0.00102656077870861,0.00256640194677151,0.00135073786672185,662,tags=19%, list=5%, signal=18%,67971/26397/70575/52637/110391/66734/16008/14009/110877/71862/18088/328643/637515/19735/243328/70536/64381/71703/20254/15904/105827/239217/14702/260298/30052/12653/18012/20255/12652/14917/214189/217212/101202/80976/69865
Crypt Top Colonocytes,Crypt Top Colonocytes,Crypt Top Colonocytes,230,-0.602207340832857,-1.99435520724561,1e-10,1e-09,5.26315789473684e-10,2442,tags=44%, list=18%, signal=37%,56196/69745/20733/13052/11461/56398/56295/216558/18793/235135/26432/20732/109552/20194/52538/59290/67938/72269/102502/12579/14701/110557/18400/12010/11853/215210/14972/12351/12861/228765/22117/11740/15018/13860/71908/66805/20515/56434/69861/54391/74340/76273/12349/70129/55948/12369/53624/26365/232431/78906/17075/26941/23945/78388/26367/78004/11758/14672/53945/67080/66071/56226/27219/16790/72748/56362/226654/241452/108105/57319/15446/22271/13730/228576/70163/14916/268663/192970/11833/106861/13487/15013/18671/72112/22264/26357/15006/14915/330962/66601/17063/72040/76507/224762/17287/68891/13040/319848/99663/100061/99709
Colonocytes,Colonocytes,Colonocytes,37,-0.683708083078834,-1.77253454770505,0.00051316873960927,0.00171056246536423,0.000900296034402228,1899,tags=43%, list=14%, signal=37%,18703/20341/12349/55948/103172/78906/16855/78388/66071/12709/13487/22264/93835/15484/72040/12346
Goblets,Goblets,Goblets,57,-0.768142679619734,-2.14420168964214,5.64553996264208e-09,2.82276998132104e-08,1.4856684112216e-08,1144,tags=37%, list=8%, signal=34%,218138/26427/67709/66532/20730/20702/19416/30051/19752/23795/20704/20731/23844/20701/215384/16429/101202/69036/17831/26945/21786
