,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
Undifferentiated #1,Undifferentiated #1,Undifferentiated #1,80,0.239052692771657,0.756624730293254,0.91214953271028,0.91214953271028,0.768125922282341,5299,tags=60%, list=40%, signal=36%,13057/56312/269261/56200/381101/19385/15528/66489/22608/68193/20055/20084/19942/19946/27176/67025/26961/100503670/20054/16898/20103/19921/26451/20677/107686/20116/20085/20044/17975/19981/67186/27207/68052/102060/67671/67115/78294/72083/30055/57808/65019/19896/22121/20090/22143/19988/11837/66480
Mast Cells,Mast Cells,Mast Cells,216,-0.229790222907835,-0.833626763407647,0.904017857142857,0.91214953271028,0.768125922282341,1623,tags=11%, list=12%, signal=9%,16432/18826/12521/50772/17873/12453/14605/13682/20482/56336/212980/17001/14645/207839/18301/15251/17698/16852/12522/66355/11690/193740/109731
ILCs,ILCs,ILCs,167,-0.237680994146673,-0.837914299843728,0.864864864864865,0.91214953271028,0.768125922282341,2733,tags=20%, list=21%, signal=16%,621697/383295/77128/73274/319520/13205/17210/216850/106585/67064/652925/56722/69188/12010/235442/16477/12226/18826/64209/320292/12453/18715/22695/14605/13682/20482/216859/19264/231070/18301/17698/20393/12522/667803
T-Cells,T-Cells,T-Cells,149,-0.293956791961606,-1.03837110676512,0.373134328358209,0.621890547263682,0.52369730295889,2023,tags=16%, list=15%, signal=14%,56722/330192/12010/75547/12226/16432/18826/21929/231464/18655/12453/22695/14605/14702/216859/19264/15013/18301/110557/16852/15006/11690/667803/15007
Undifferentiated #2,Undifferentiated #2,Undifferentiated #2,69,-0.305155378500149,-0.950965015164628,0.54356846473029,0.776526378186129,0.653916950051477,1310,tags=14%, list=10%, signal=13%,208104/17357/22166/66694/57441/18703/237038/19049/11522/244853
Enteroendocrines,Enteroendocrines,Enteroendocrines,184,-0.384950058773281,-1.3748439886721,0.0129849738730718,0.0649248693653591,0.0546735742024076,2339,tags=24%, list=18%, signal=20%,15931/11465/20807/58521/494448/20168/12177/208104/18746/69865/22596/17357/192657/70456/64209/13195/12652/214189/12453/216459/260298/229709/381677/13682/14702/12653/60599/18012/18484/30045/14645/20322/637515/18088/14009/70536/13655/100041585/20254/22139/20394/217212/69908/18548
Colonocytes,Colonocytes,Colonocytes,37,-0.395251784630384,-1.08855820999871,0.326403326403326,0.621890547263682,0.52369730295889,2313,tags=27%, list=17%, signal=22%,12215/66809/66166/12709/55948/20341/18703/12349/13521/13487
Goblets,Goblets,Goblets,56,-0.45816700366958,-1.37081951476249,0.0688935281837161,0.22964509394572,0.19338534227008,2429,tags=32%, list=18%, signal=26%,11910/66913/53602/20731/67701/16476/69036/64209/26427/11891/20704/16600/23844/67709/66120/20702/20730/212989
BEST4/OTOP2 Cells,BEST4/OTOP2 Cells,BEST4/OTOP2 Cells,18,-0.505149458805436,-1.17023594385851,0.26844262295082,0.621890547263682,0.52369730295889,2277,tags=33%, list=17%, signal=28%,66809/12709/22113/70163/15901/12351
Crypt Top Colonocytes,Crypt Top Colonocytes,Crypt Top Colonocytes,228,-0.555869990725482,-2.03127869115117,5.96609378085966e-10,5.96609378085966e-09,5.02407897335551e-09,2516,tags=39%, list=19%, signal=32%,14964/12861/22117/20732/102502/13860/106861/66878/67080/12215/18671/66809/226654/22334/54391/56196/14701/245945/26941/26367/56398/12010/23945/226777/224762/71960/108705/268663/55948/11740/94212/16432/192970/216558/72269/71648/11430/216190/235135/22333/17063/231507/17287/70178/56362/76507/11931/66805/15486/56295/17119/57783/68891/17859/50528/12369/56434/72112/74340/11853/64138/70163/13040/72748/12575/69861/78004/12349/15013/11758/13521/58185/22351/110557/53945/224796/56226/16790/20515/246730/26357/57319/15006/108105/23960/15007/13487/11833/12351
