ENTREZID	SYMBOL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newPadj
72082	Cyp2c55	27805.29645	-4.221919201	0.151143587	-27.93316799	1.06E-171	1.45E-167	1.88E-167
26941	Slc9a3r1	7451.288354	-3.494181097	0.14857466	-23.51801515	2.67E-122	1.83E-118	4.75E-118
70266	Kyat1	934.905884	-4.95772679	0.237479511	-20.87644012	8.77E-97	4.02E-93	1.56E-92
102502	Pls1	6448.81188	-2.21215391	0.116966143	-18.91277131	8.95E-80	3.08E-76	1.59E-75
244650	Phlpp2	1066.251291	-3.152844526	0.16747367	-18.82591167	4.63E-79	1.27E-75	8.24E-75
12351	Car4	3784.623812	-8.740723384	0.475457106	-18.38383162	1.77E-75	4.05E-72	3.15E-71
67064	Chmp1b	2107.557073	-2.707084157	0.153717502	-17.61077382	2.04E-69	4.00E-66	3.62E-65
224796	Clic5	4263.681169	-3.284301904	0.187094183	-17.55427052	5.52E-69	9.48E-66	9.82E-65
27219	Sgk2	390.1128164	-6.049316235	0.347295765	-17.4183415	5.99E-68	9.14E-65	1.07E-63
56643	Slc15a1	1015.869104	-8.272593741	0.479415423	-17.25558534	1.02E-66	1.40E-63	1.81E-62
99663	Clca4a	9030.454489	-7.634585015	0.463393227	-16.4753919	5.51E-61	6.89E-58	9.81E-57
22057	Tob1	1811.425464	-2.122824235	0.129623545	-16.37684132	2.80E-60	3.21E-57	4.98E-56
217138	Prr15l	3493.081544	-2.881776087	0.178288907	-16.16351876	9.12E-59	9.64E-56	1.62E-54
217069	Trim25	2818.232582	-2.446978598	0.152739073	-16.02064585	9.17E-58	9.00E-55	1.63E-53
269181	Mgat4a	6422.067562	-2.799212546	0.176245547	-15.88245826	8.38E-57	7.68E-54	1.49E-52
12684	Cideb	408.8784637	-3.809257042	0.241040964	-15.80335967	2.95E-56	2.53E-53	5.25E-52
17131	Smad7	824.0514448	-4.034443266	0.261626654	-15.42061258	1.19E-53	9.55E-51	2.12E-49
76507	Aoc1	1102.69839	-3.53903592	0.229548544	-15.41737471	1.25E-53	9.55E-51	2.22E-49
12577	Cdkn1c	539.6274764	-4.389219762	0.286182609	-15.33712957	4.32E-53	3.12E-50	7.68E-49
17119	Mxd1	14585.93452	-5.662817589	0.370054242	-15.30266904	7.34E-53	5.04E-50	1.30E-48
13113	Cyp3a13	1121.86215	-5.585791362	0.365097706	-15.29944251	7.71E-53	5.05E-50	1.37E-48
67043	Syap1	2073.382912	-1.626807043	0.107053325	-15.19623088	3.75E-52	2.34E-49	6.66E-48
209225	Zfp710	802.1767086	-2.382878875	0.157091012	-15.16877919	5.69E-52	3.40E-49	1.01E-47
17210	Mcl1	4081.392693	-2.16200617	0.143066181	-15.11193042	1.35E-51	7.74E-49	2.40E-47
11486	Ada	1017.901797	-7.399088291	0.493545375	-14.99170829	8.32E-51	4.57E-48	1.48E-46
268860	Abat	1055.027999	-5.541949501	0.370462152	-14.95955651	1.35E-50	7.13E-48	2.40E-46
15203	Heph	3603.923117	-2.194273198	0.14824338	-14.8018293	1.43E-49	7.26E-47	2.53E-45
19698	Relb	505.6204118	-2.479556126	0.167656985	-14.78945911	1.71E-49	8.41E-47	3.05E-45
71602	Myo1e	3015.837821	-2.51477769	0.170497028	-14.74968634	3.09E-49	1.46E-46	5.49E-45
12575	Cdkn1a	1899.454029	-3.413664388	0.233236314	-14.6360759	1.65E-48	7.57E-46	2.94E-44
13139	Dgka	2098.196702	-2.783732415	0.191120507	-14.56532561	4.67E-48	2.07E-45	8.29E-44
320311	Rnf152	250.0281786	-5.088711952	0.34943939	-14.56250239	4.86E-48	2.09E-45	8.64E-44
13487	Slc26a3	5877.052522	-4.554033374	0.312850587	-14.5565761	5.30E-48	2.21E-45	9.43E-44
18222	Numb	1489.831367	-2.273620841	0.15645665	-14.53195398	7.60E-48	3.07E-45	1.35E-43
16599	Klf3	4498.055745	-1.896881638	0.130681279	-14.51532804	9.69E-48	3.80E-45	1.72E-43
28185	Tomm70a	1677.942998	1.805857761	0.125462623	14.39359168	5.68E-47	2.17E-44	1.01E-42
70101	Cyp4f16	686.7056432	-4.328554553	0.302336274	-14.31702023	1.71E-46	6.36E-44	3.04E-42
212943	Tent5a	2510.53947	-3.295756111	0.230511521	-14.29757654	2.27E-46	8.19E-44	4.02E-42
20732	Spint1	2555.69961	-2.095210561	0.146697416	-14.28253213	2.81E-46	9.91E-44	4.99E-42
14281	Fos	1111.086528	-3.514703909	0.246443259	-14.26171658	3.79E-46	1.30E-43	6.73E-42
20320	Nptn	2026.997573	-2.005537093	0.141138984	-14.2096608	7.98E-46	2.68E-43	1.42E-41
75599	Pcdh1	1278.457976	-2.301049406	0.16257161	-14.1540667	1.76E-45	5.77E-43	3.13E-41
