ENTREZID	SYMBOL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newPadj
72082	Cyp2c55	27805.29645	-4.218191478	0.15115746	-27.90594305	2.26E-171	3.03E-167	4.02E-167
26941	Slc9a3r1	7451.288354	-2.861616422	0.148752091	-19.23748704	1.80E-82	1.20E-78	3.20E-78
102502	Pls1	6448.81188	-1.921621844	0.117044098	-16.41793034	1.42E-60	6.36E-57	2.53E-56
244650	Phlpp2	1066.251291	-2.697389308	0.170105238	-15.85717956	1.25E-56	4.20E-53	2.23E-52
12351	Car4	3784.623812	-7.541899201	0.490155167	-15.38675854	2.01E-53	5.38E-50	3.57E-49
12684	Cideb	408.8784637	-3.733913655	0.244524723	-15.27008646	1.21E-52	2.70E-49	2.15E-48
13113	Cyp3a13	1121.86215	-5.451877207	0.365818014	-14.9032497	3.14E-50	6.01E-47	5.59E-46
224796	Clic5	4263.681169	-2.73905144	0.187988189	-14.57033795	4.34E-48	7.27E-45	7.72E-44
268860	Abat	1055.027999	-5.544289976	0.383898116	-14.44208696	2.81E-47	4.19E-44	5.00E-43
70266	Kyat1	934.905884	-3.451688503	0.241659708	-14.28326027	2.78E-46	3.73E-43	4.95E-42
67043	Syap1	2073.382912	-1.528181334	0.107552656	-14.20868061	8.09E-46	9.86E-43	1.44E-41
22057	Tob1	1811.425464	-1.842565737	0.130369917	-14.13336588	2.37E-45	2.64E-42	4.21E-41
27219	Sgk2	390.1128164	-5.111094419	0.362011574	-14.11859396	2.92E-45	3.01E-42	5.19E-41
67064	Chmp1b	2107.557073	-2.144953223	0.154288774	-13.90219891	6.14E-44	5.88E-41	1.09E-39
13487	Slc26a3	5877.052522	-4.284979171	0.312129677	-13.72820173	6.88E-43	6.15E-40	1.22E-38
67038	Ly6m	673.2833196	-6.891904817	0.505119679	-13.64410277	2.19E-42	1.83E-39	3.89E-38
545902	Ptprh	1230.349196	-3.982938331	0.302402637	-13.17097749	1.29E-39	1.02E-36	2.29E-35
20732	Spint1	2555.69961	-1.937954434	0.14748592	-13.1399284	1.94E-39	1.45E-36	3.46E-35
17119	Mxd1	14585.93452	-4.668288067	0.370514192	-12.59948515	2.13E-36	1.50E-33	3.78E-32
18010	Neu1	3255.396201	-1.921074731	0.153175127	-12.54168848	4.41E-36	2.96E-33	7.85E-32
64385	Cyp4f14	1677.851848	-6.437621589	0.515269396	-12.49370065	8.08E-36	5.16E-33	1.44E-31
56643	Slc15a1	1015.869104	-6.713122989	0.538952832	-12.45586365	1.30E-35	7.92E-33	2.31E-31
192113	Atp12a	12292.01298	-3.919710956	0.318106161	-12.32202151	6.89E-35	4.02E-32	1.23E-30
72303	Cyp2c65	1641.07143	-5.464129182	0.443730523	-12.31407104	7.61E-35	4.25E-32	1.35E-30
12575	Cdkn1a	1899.454029	-2.871765313	0.233281641	-12.31029283	7.97E-35	4.27E-32	1.42E-30
269181	Mgat4a	6422.067562	-2.162805898	0.17651977	-12.25248535	1.63E-34	8.40E-32	2.90E-30
217837	Itpk1	1659.758661	-2.802545837	0.231017801	-12.1312982	7.21E-34	3.58E-31	1.28E-29
432516	Myo1a	4288.994097	-4.533884872	0.375384507	-12.07797548	1.38E-33	6.61E-31	2.45E-29
12452	Ccng2	1813.805247	-2.754408101	0.228215499	-12.0693297	1.53E-33	7.09E-31	2.73E-29
12346	Car1	41190.927	-4.330665274	0.359333124	-12.05195119	1.89E-33	8.46E-31	3.37E-29
15203	Heph	3603.923117	-1.783308244	0.148366432	-12.01962077	2.80E-33	1.21E-30	4.98E-29
14672	Gna11	2862.625505	-2.153399893	0.179791898	-11.97717983	4.68E-33	1.96E-30	8.32E-29
99663	Clca4a	9030.454489	-5.53238093	0.462041379	-11.97377808	4.88E-33	1.98E-30	8.66E-29
216810	Tom1l2	865.8609403	-2.362242811	0.198710121	-11.88788372	1.37E-32	5.39E-30	2.43E-28
209225	Zfp710	802.1767086	-1.893847882	0.159453864	-11.87708995	1.56E-32	5.96E-30	2.77E-28
66878	Riok3	2865.660281	-1.740695981	0.146911193	-11.84862732	2.19E-32	8.14E-30	3.89E-28
217138	Prr15l	3493.081544	-2.112859055	0.178542973	-11.83389648	2.61E-32	9.45E-30	4.63E-28
320311	Rnf152	250.0281786	-4.641785391	0.393572718	-11.79397144	4.19E-32	1.48E-29	7.45E-28
70178	Abhd17c	2658.428625	-1.773994169	0.150551851	-11.78327702	4.76E-32	1.64E-29	8.46E-28
16969	Zbtb7a	4347.926511	-1.509046696	0.128330431	-11.75907133	6.34E-32	2.13E-29	1.13E-27
11430	Acox1	6891.837408	-2.497266086	0.213057643	-11.72108192	9.94E-32	3.25E-29	1.77E-27
71661	0610005C13Rik	116.7050844	-4.406389397	0.376683583	-11.69785356	1.31E-31	4.17E-29	2.32E-27
66371	Chmp4c	3460.717854	-1.532748318	0.131324604	-11.67144825	1.78E-31	5.56E-29	3.17E-27
20532	Slc3a1	703.7817746	-6.869859357	0.592008552	-11.60432452	3.92E-31	1.19E-28	6.96E-27
228576	Mall	879.519931	-3.672125121	0.318353119	-11.53475465	8.81E-31	2.63E-28	1.57E-26
17131	Smad7	824.0514448	-3.036633441	0.263821491	-11.51018222	1.17E-30	3.42E-28	2.08E-26
102857	Slc6a8	2291.111414	-4.268477105	0.371137702	-11.50106034	1.30E-30	3.72E-28	2.31E-26
66214	Rgcc	359.1447656	4.248227497	0.375300046	11.31954964	1.05E-29	2.93E-27	1.86E-25
72040	Cdhr5	5470.077993	-3.385647991	0.300777131	-11.25633449	2.16E-29	5.90E-27	3.83E-25
16600	Klf4	7714.271713	-3.498956901	0.312144286	-11.2094216	3.67E-29	9.83E-27	6.51E-25
69861	2010003K11Rik	187.3498335	-4.446646701	0.396838624	-11.20517618	3.85E-29	1.01E-26	6.83E-25
98845	Eps8l2	3531.951248	-2.510777043	0.225845426	-11.11723662	1.03E-28	2.67E-26	1.84E-24
16796	Lasp1	8599.286774	-1.75115434	0.157750813	-11.10076273	1.24E-28	3.15E-26	2.21E-24
22349	Vil1	7502.378615	-2.136071625	0.193041148	-11.06536948	1.85E-28	4.58E-26	3.28E-24
21818	Tgm3	2317.938182	-5.026625697	0.457078516	-10.99729153	3.94E-28	9.60E-26	6.99E-24
66953	Cdca7	662.7946641	3.150243676	0.28683161	10.98290274	4.62E-28	1.11E-25	8.20E-24
56857	Slc37a2	936.2265799	-6.325232287	0.580195941	-10.90188994	1.13E-27	2.65E-25	2.00E-23
18222	Numb	1489.831367	-1.712237984	0.157222866	-10.89051499	1.28E-27	2.96E-25	2.27E-23
11852	Rhob	1565.449937	-2.543222283	0.23394206	-10.87116308	1.58E-27	3.59E-25	2.81E-23
71955	Ist1	1765.527603	-1.646901482	0.151559395	-10.86637673	1.67E-27	3.72E-25	2.96E-23
229474	Fhdc1	659.831481	-2.039106769	0.188013469	-10.8455356	2.09E-27	4.60E-25	3.72E-23
20515	Slc20a1	1950.09013	-3.587186808	0.331731113	-10.81353745	2.97E-27	6.42E-25	5.27E-23
104252	Cdc42ep2	307.0246264	-3.840107391	0.355382985	-10.80554657	3.24E-27	6.89E-25	5.75E-23
70101	Cyp4f16	686.7056432	-3.251552638	0.301805795	-10.77365872	4.58E-27	9.60E-25	8.13E-23
230661	Tesk2	467.7006936	-2.660155925	0.247173539	-10.76230059	5.19E-27	1.07E-24	9.20E-23
217069	Trim25	2818.232582	-1.639375624	0.153135368	-10.7054017	9.60E-27	1.95E-24	1.70E-22
56484	Foxo3	4489.813224	-2.065956885	0.193102836	-10.69873924	1.03E-26	2.06E-24	1.83E-22
13139	Dgka	2098.196702	-2.034834494	0.190567412	-10.67776735	1.29E-26	2.55E-24	2.29E-22
81497	Btnl5-ps	678.3849453	-3.342611703	0.313324914	-10.66819635	1.43E-26	2.79E-24	2.54E-22
72112	Ppp1r14d	1416.39321	-2.374226734	0.222622378	-10.66481618	1.49E-26	2.85E-24	2.64E-22
16780	Lamb3	4442.394011	-2.039773653	0.191460442	-10.6537603	1.67E-26	3.16E-24	2.97E-22
210029	Metrnl	678.8821322	-3.095158146	0.290586511	-10.65141715	1.72E-26	3.20E-24	3.04E-22
212070	Clrn3	1166.735322	-2.884021939	0.270930744	-10.64486774	1.84E-26	3.38E-24	3.27E-22
75416	Nop14	640.5133645	1.691733193	0.159072622	10.63497399	2.05E-26	3.71E-24	3.63E-22
76768	Alpi	796.7011946	-6.367974346	0.600049395	-10.61241692	2.61E-26	4.66E-24	4.63E-22
16669	Krt19	51247.58274	-1.907994803	0.179938577	-10.60358947	2.87E-26	5.06E-24	5.08E-22
