ENTREZID	SYMBOL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newPadj
72082	Cyp2c55	27805.29645	-3.611062607	0.151190088	-23.88425502	4.46E-126	5.83E-122	7.95E-122
14367	Fzd5	1296.209674	-2.276589046	0.150764052	-15.100344	1.61E-51	1.05E-47	2.87E-47
12346	Car1	41190.927	-5.375848271	0.359383086	-14.95854556	1.37E-50	5.97E-47	2.44E-46
26941	Slc9a3r1	7451.288354	-2.16551407	0.148799523	-14.55323259	5.57E-48	1.82E-44	9.91E-44
76507	Aoc1	1102.69839	-3.590389458	0.256884651	-13.97666011	2.16E-44	5.66E-41	3.85E-40
12684	Cideb	408.8784637	-3.660089938	0.270020635	-13.55485271	7.42E-42	1.61E-38	1.32E-37
13113	Cyp3a13	1121.86215	-5.139527985	0.394499955	-13.02795582	8.49E-39	1.58E-35	1.51E-34
217837	Itpk1	1659.758661	-2.811162243	0.23261178	-12.08521017	1.26E-33	2.07E-30	2.25E-29
18010	Neu1	3255.396201	-1.803163037	0.153693296	-11.73221662	8.71E-32	1.27E-28	1.55E-27
102502	Pls1	6448.81188	-1.338568602	0.117240959	-11.41724368	3.43E-30	4.48E-27	6.10E-26
70599	Itprid2	2977.525367	-1.842407497	0.161533869	-11.40570404	3.92E-30	4.65E-27	6.97E-26
17119	Mxd1	14585.93452	-4.211295273	0.371456531	-11.33724923	8.58E-30	9.34E-27	1.53E-25
12333	Capn1	1029.476619	-1.822405997	0.162229149	-11.23352992	2.79E-29	2.81E-26	4.96E-25
20732	Spint1	2555.69961	-1.657162898	0.148284882	-11.17553504	5.37E-29	5.01E-26	9.56E-25
16669	Krt19	51247.58274	-1.979260017	0.179897709	-11.0021413	3.73E-28	3.25E-25	6.64E-24
245282	Apol10a	380.0721709	-3.869703426	0.354943072	-10.90232134	1.12E-27	9.18E-25	2.00E-23
100061	Lrrc19	683.023013	-4.503330459	0.41667053	-10.8078929	3.16E-27	2.43E-24	5.62E-23
228576	Mall	879.519931	-3.418624909	0.31692022	-10.78702051	3.96E-27	2.88E-24	7.05E-23
66214	Rgcc	359.1447656	3.901737778	0.362953439	10.74996778	5.93E-27	4.08E-24	1.05E-22
22057	Tob1	1811.425464	-1.381142325	0.130083938	-10.61731639	2.48E-26	1.62E-23	4.40E-22
12332	Capg	654.7052765	-3.821585877	0.360807797	-10.59174972	3.25E-26	2.02E-23	5.79E-22
27219	Sgk2	390.1128164	-3.426718827	0.323749201	-10.58448581	3.52E-26	2.09E-23	6.25E-22
14672	Gna11	2862.625505	-1.887150042	0.180133415	-10.47640187	1.11E-25	6.30E-23	1.97E-21
17940	Naip1	4159.489802	-2.930859654	0.280101518	-10.4635622	1.27E-25	6.91E-23	2.26E-21
432516	Myo1a	4288.994097	-3.91109264	0.374843119	-10.43394539	1.74E-25	9.07E-23	3.08E-21
107435	Hat1	396.8536594	1.994842169	0.191893183	10.3955864	2.60E-25	1.31E-22	4.62E-21
13487	Slc26a3	5877.052522	-3.44302366	0.331596924	-10.38315922	2.96E-25	1.43E-22	5.26E-21
67038	Ly6m	673.2833196	-5.152703715	0.497771959	-10.35153471	4.12E-25	1.92E-22	7.32E-21
16796	Lasp1	8599.286774	-1.631764564	0.158020113	-10.32630928	5.36E-25	2.41E-22	9.52E-21
223754	Tbc1d22a	644.0728954	-1.560888105	0.15320635	-10.18814234	2.24E-24	9.76E-22	3.98E-20
545902	Ptprh	1230.349196	-3.068982839	0.302198235	-10.15552868	3.13E-24	1.32E-21	5.56E-20
12452	Ccng2	1813.805247	-2.316669444	0.228777455	-10.12630132	4.22E-24	1.72E-21	7.50E-20
66809	Krt20	10405.89801	-5.066698571	0.507336623	-9.986857528	1.74E-23	6.89E-21	3.09E-19
72040	Cdhr5	5470.077993	-2.988258811	0.300747276	-9.936112629	2.90E-23	1.11E-20	5.15E-19
14302	Frk	2006.541707	-1.645354713	0.166556722	-9.878644886	5.15E-23	1.92E-20	9.15E-19
73178	Wasl	4163.944494	-1.154307897	0.117125029	-9.855347782	6.50E-23	2.36E-20	1.15E-18
229731	Slc25a24	3791.524544	-1.685838476	0.171417041	-9.83471927	7.98E-23	2.82E-20	1.42E-18
432720	Akr1c19	849.2973633	-3.257697155	0.331723821	-9.820510154	9.19E-23	3.16E-20	1.63E-18
99663	Clca4a	9030.454489	-4.512352644	0.459835267	-9.812976442	9.90E-23	3.32E-20	1.76E-18
26365	Ceacam1	40290.10107	-1.970890005	0.201332084	-9.789249489	1.25E-22	4.09E-20	2.22E-18
67064	Chmp1b	2107.557073	-1.511866038	0.15466807	-9.774907257	1.44E-22	4.60E-20	2.56E-18
70129	Slc44a4	1880.372372	-2.327288668	0.241371137	-9.641950953	5.32E-22	1.65E-19	9.44E-18
230828	Il22ra1	460.4828521	-2.133728743	0.222535887	-9.588245615	8.96E-22	2.72E-19	1.59E-17
18412	Sqstm1	2985.229524	-1.389384775	0.144964714	-9.584296293	9.31E-22	2.76E-19	1.65E-17
107684	Coro2a	10762.56324	-2.691629081	0.280990923	-9.579060593	9.79E-22	2.84E-19	1.74E-17
14281	Fos	1111.086528	-2.354402209	0.246269565	-9.560264608	1.17E-21	3.34E-19	2.09E-17
245000	Atr	557.3335483	1.451159782	0.151894738	9.553719881	1.25E-21	3.48E-19	2.22E-17
72123	Ccdc71l	1622.76617	-2.839135126	0.297817132	-9.533149093	1.53E-21	4.15E-19	2.71E-17
20532	Slc3a1	703.7817746	-5.712645022	0.602104924	-9.487789907	2.36E-21	6.29E-19	4.19E-17
11810	Apobec1	870.8154417	-4.055436536	0.427684252	-9.482314385	2.49E-21	6.50E-19	4.42E-17
78906	Misp	5662.228262	-2.373346073	0.251497057	-9.436874143	3.84E-21	9.84E-19	6.82E-17
