ENTREZID	SYMBOL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newPadj
14367	Fzd5	1296.209674	-2.092488148	0.152557224	-13.71608692	8.13E-43	1.04E-38	1.45E-38
20148	Dhrs3	721.0741391	-2.319402555	0.200670352	-11.55827221	6.70E-31	4.27E-27	1.19E-26
12387	Ctnnb1	9599.323381	-1.669704582	0.146548839	-11.39350263	4.51E-30	1.91E-26	8.02E-26
20352	Sema4b	1479.000989	-2.217847758	0.198443605	-11.17621177	5.33E-29	1.70E-25	9.49E-25
20753	Sprr1a	1947.271325	-5.625709785	0.534443638	-10.52629198	6.54E-26	1.66E-22	1.16E-21
27428	Shroom3	2691.838184	-1.218112351	0.116621531	-10.44500398	1.54E-25	3.28E-22	2.75E-21
17119	Mxd1	14585.93452	-3.769585644	0.370980159	-10.16115161	2.96E-24	5.37E-21	5.26E-20
230857	Ece1	1520.056333	-1.842932573	0.182254062	-10.11188752	4.89E-24	7.79E-21	8.71E-20
16669	Krt19	51247.58274	-1.802169407	0.179835384	-10.021217	1.23E-23	1.74E-20	2.19E-19
16599	Klf3	4498.055745	-1.298978985	0.131320144	-9.89169629	4.52E-23	5.76E-20	8.05E-19
11826	Aqp1	247.2590794	6.81288272	0.695654236	9.793489873	1.20E-22	1.39E-19	2.14E-18
381305	Rc3h1	2086.860497	-1.353788723	0.13880241	-9.753351684	1.78E-22	1.89E-19	3.18E-18
20129	Rptn	146.0885728	-4.778479058	0.50997436	-9.370037862	7.25E-21	7.10E-18	1.29E-16
71889	Epn3	1341.016588	-2.186932857	0.237987958	-9.189258459	3.96E-20	3.60E-17	7.04E-16
27375	Tjp3	2685.001964	-1.0252945	0.111872994	-9.164807892	4.96E-20	4.21E-17	8.83E-16
15903	Id3	126.3615066	-3.905980535	0.426936924	-9.148846855	5.75E-20	4.58E-17	1.02E-15
69697	Camsap3	901.4584162	-1.72329305	0.192775122	-8.939395441	3.91E-19	2.93E-16	6.96E-15
320717	Pptc7	807.9073498	-1.461616782	0.164183358	-8.902344297	5.47E-19	3.87E-16	9.72E-15
14160	Lgr5	823.1160709	5.287069567	0.605563587	8.730824768	2.53E-18	1.69E-15	4.50E-14
12550	Cdh1	20492.06998	-1.122246183	0.128692534	-8.720367461	2.77E-18	1.76E-15	4.93E-14
268297	Scml4	438.6198278	2.33241366	0.267830009	8.708559827	3.08E-18	1.87E-15	5.47E-14
15375	Foxa1	1971.107527	-1.507429585	0.17399129	-8.66382209	4.56E-18	2.64E-15	8.11E-14
192662	Arhgdia	4237.150314	-0.911083748	0.105899771	-8.603264545	7.75E-18	4.29E-15	1.38E-13
74206	Sipa1l3	2572.713378	-1.165235068	0.135961269	-8.57034566	1.03E-17	5.47E-15	1.83E-13
215999	Mcu	3162.67765	-1.819615099	0.212468273	-8.564173239	1.09E-17	5.54E-15	1.94E-13
229474	Fhdc1	659.831481	-1.60983958	0.189136686	-8.511514146	1.72E-17	8.40E-15	3.05E-13
72373	Psca	291.7193676	-4.477691717	0.526368004	-8.506770325	1.79E-17	8.43E-15	3.18E-13
17393	Mmp7	2042.218927	5.107655892	0.60334258	8.465598248	2.55E-17	1.16E-14	4.53E-13
192231	Hexim1	475.8787557	-1.474879451	0.177218824	-8.322363387	8.62E-17	3.78E-14	1.53E-12
71093	Atoh8	136.9220065	-4.27140786	0.514703784	-8.298769096	1.05E-16	4.46E-14	1.87E-12
16562	Kif1c	3231.662899	-1.023038946	0.123506187	-8.283301199	1.20E-16	4.92E-14	2.13E-12
19326	Rab11b	1433.406012	-1.106553184	0.135794897	-8.148709643	3.68E-16	1.46E-13	6.54E-12
16796	Lasp1	8599.286774	-1.287127636	0.158158587	-8.138209011	4.01E-16	1.55E-13	7.13E-12
13642	Efnb2	3706.390229	-1.719020574	0.212577685	-8.086552342	6.14E-16	2.30E-13	1.09E-11
22361	Vnn1	850.3199619	-4.407275829	0.546255763	-8.068154377	7.14E-16	2.60E-13	1.27E-11
17355	Aff1	2169.35016	-1.231816632	0.15305596	-8.048145468	8.41E-16	2.91E-13	1.49E-11
15460	Hr	239.982085	-4.163056189	0.517310102	-8.047506076	8.45E-16	2.91E-13	1.50E-11
16780	Lamb3	4442.394011	-1.535663341	0.19123761	-8.030132469	9.74E-16	3.26E-13	1.73E-11
107515	Lgr4	2823.97856	-1.046120749	0.130425202	-8.020848222	1.05E-15	3.43E-13	1.87E-11
26365	Ceacam1	40290.10107	-1.607174755	0.201792058	-7.964509471	1.66E-15	5.16E-13	2.95E-11
107449	Unc5b	1390.639094	-1.689429659	0.212123807	-7.964356663	1.66E-15	5.16E-13	2.95E-11
13821	Epb41l1	1316.41963	-2.273135361	0.288055128	-7.89132059	2.99E-15	9.06E-13	5.31E-11
18412	Sqstm1	2985.229524	-1.134532658	0.14500071	-7.824324832	5.10E-15	1.49E-12	9.06E-11
74442	Sgms2	1380.973657	-2.216126584	0.283283878	-7.822988738	5.16E-15	1.49E-12	9.16E-11
330171	Kctd10	1087.561326	-1.133798631	0.145336499	-7.801196791	6.13E-15	1.73E-12	1.09E-10
11487	Adam10	5265.104201	-1.263435829	0.162775779	-7.761817112	8.37E-15	2.32E-12	1.49E-10
15901	Id1	677.7689346	-2.444014653	0.315121667	-7.755781037	8.78E-15	2.38E-12	1.56E-10
16691	Krt8	45679.71177	-1.816305716	0.236596155	-7.676818409	1.63E-14	4.32E-12	2.90E-10
20779	Src	1299.920195	-1.029203696	0.135366596	-7.603084728	2.89E-14	7.51E-12	5.13E-10
14873	Gsto1	9646.669028	-1.334470358	0.175853631	-7.588528869	3.24E-14	8.19E-12	5.74E-10
13521	Slc26a2	14252.92422	-2.562365576	0.337747482	-7.586631185	3.28E-14	8.19E-12	5.83E-10
13138	Dag1	3958.649313	-0.92351218	0.122390995	-7.545589276	4.50E-14	1.10E-11	7.99E-10
14183	Fgfr2	977.7928415	2.897996004	0.384318206	7.540615982	4.68E-14	1.12E-11	8.30E-10
20311	Cxcl5	570.4102541	-4.091871237	0.543735165	-7.525485753	5.25E-14	1.24E-11	9.32E-10
66371	Chmp4c	3460.717854	-1.009475335	0.135008178	-7.477142105	7.60E-14	1.76E-11	1.35E-09
17388	Mmp15	3548.315187	-1.364354062	0.182645281	-7.469966108	8.02E-14	1.82E-11	1.42E-09
110078	Pygb	1931.628252	-1.516283565	0.203069962	-7.466803793	8.22E-14	1.83E-11	1.46E-09
17131	Smad7	824.0514448	-1.886194451	0.253692229	-7.434971336	1.05E-13	2.30E-11	1.86E-09
217069	Trim25	2818.232582	-1.138061118	0.153242969	-7.426514427	1.11E-13	2.41E-11	1.98E-09
338367	Myo1d	6850.220379	-0.963473812	0.130216951	-7.398989195	1.37E-13	2.91E-11	2.43E-09
60595	Actn4	9625.378894	-1.423327769	0.192573007	-7.391107377	1.46E-13	3.04E-11	2.58E-09
15108	Hsd17b10	424.2306418	1.212440257	0.164362309	7.376631924	1.62E-13	3.33E-11	2.88E-09
269831	Tspan12	768.66055	2.528739497	0.344011743	7.350735972	1.97E-13	3.98E-11	3.50E-09
67800	Dgat2	417.3071886	-1.957202848	0.26643794	-7.345811353	2.05E-13	4.07E-11	3.63E-09
22214	Ube2h	2969.776058	-1.562828104	0.212809495	-7.343789346	2.08E-13	4.07E-11	3.68E-09
69847	Wnk4	476.1804789	-2.007813486	0.274522339	-7.313843719	2.60E-13	4.94E-11	4.60E-09
12385	Ctnna1	11023.46719	-1.137969553	0.155593562	-7.313731627	2.60E-13	4.94E-11	4.61E-09
54132	Pdlim1	1500.204605	-1.796313649	0.246390253	-7.290522368	3.09E-13	5.78E-11	5.48E-09
19299	Abcd3	4810.248427	-1.358775673	0.187131032	-7.261092172	3.84E-13	7.08E-11	6.81E-09
18770	Pklr	1321.413751	-1.014639451	0.139917595	-7.251693044	4.12E-13	7.48E-11	7.30E-09
63953	Dusp10	504.8449181	-2.383040849	0.329930938	-7.2228475	5.09E-13	9.13E-11	9.03E-09
16341	Eif3e	4359.825472	1.28498328	0.17799277	7.219300434	5.23E-13	9.24E-11	9.26E-09
67547	Slc39a8	941.4446694	2.405495841	0.335782932	7.163841916	7.84E-13	1.37E-10	1.39E-08
22433	Xbp1	2038.966295	1.41235996	0.198476276	7.116013989	1.11E-12	1.91E-10	1.97E-08
11938	Atp2a2	6921.177332	-0.807150124	0.114185139	-7.068784362	1.56E-12	2.65E-10	2.77E-08
14063	F2rl1	1688.809241	-1.458678068	0.207290588	-7.036875556	1.97E-12	3.29E-10	3.48E-08
140570	Plxnb2	9309.053264	-1.062909989	0.151246353	-7.027673518	2.10E-12	3.47E-10	3.72E-08
65970	Lima1	5979.874426	-1.138008053	0.162511166	-7.002645303	2.51E-12	4.10E-10	4.45E-08
67420	Far1	2360.767876	-1.516784682	0.217181083	-6.983963149	2.87E-12	4.58E-10	5.09E-08
17829	Muc1	234.9881205	-6.094942668	0.872770377	-6.983443561	2.88E-12	4.58E-10	5.10E-08
75747	Sesn3	692.5876096	-1.700915569	0.243758906	-6.977860198	3.00E-12	4.71E-10	5.31E-08
242864	Napepld	435.286285	2.132009137	0.306288946	6.960777288	3.38E-12	5.25E-10	6.00E-08
12224	Klf5	7894.267454	-1.050290795	0.150995498	-6.955775537	3.51E-12	5.38E-10	6.21E-08
110593	Prdm2	1039.959688	-1.419476715	0.204308664	-6.947706904	3.71E-12	5.58E-10	6.58E-08
12684	Cideb	408.8784637	-1.774073943	0.255367861	-6.947130853	3.73E-12	5.58E-10	6.60E-08
75599	Pcdh1	1278.457976	-1.136501269	0.163864322	-6.935623672	4.04E-12	5.99E-10	7.16E-08
208795	Tmem63a	1463.623719	-1.522959478	0.219757941	-6.930168112	4.20E-12	6.14E-10	7.45E-08
20116	Rps8	8021.87482	1.158870905	0.16725389	6.928812855	4.24E-12	6.14E-10	7.52E-08
100034726	Gm15772	767.9251288	2.704664981	0.392557936	6.889849205	5.59E-12	7.99E-10	9.89E-08
171531	Mlph	2484.218352	-1.511193392	0.219747499	-6.876953783	6.11E-12	8.65E-10	1.08E-07
